Restaurant Name,Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes
Talho Capixaba,30,Rio de Janeiro,Leblon,-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",120,0,0,0,4,4.4,13
Leme Light,30,Rio de Janeiro,Leme,-43.17279167,-22.963925,Brazilian,40,0,0,0,2,4.2,7
Shirley,30,Rio de Janeiro,Leme,-43.17126389,-22.96337222,"Brazilian, Seafood",250,0,0,0,4,4.2,8
Apraz�_vel,30,Rio de Janeiro,Santa Teresa,-43.18736944,-22.92481389,Brazilian,300,0,0,0,4,4.7,44
Aconchego Carioca,30,Rio de Janeiro,Tijuca,-43.21551111,-22.91370833,"Brazilian, Bar Food",85,0,0,0,3,4.6,24
Garota de Ipanema,30,Rio de Janeiro,Urca,-43.16266667,-22.94783333,"Brazilian, Bar Food",80,0,0,0,3,4.3,10
Cantina Famiglia Mancini,30,S��o Paulo,"Bela Vista, Centro",-46.64516667,-23.55066667,"Italian, Pizza",250,0,0,0,4,4.5,49
Templo da Carne - Marcos Bassi,30,S��o Paulo,"Bela Vista, Centro",-46.64633333,-23.559,"Steak, BBQ",250,0,0,0,4,4.4,17
Gopala Hari,30,S��o Paulo,Consola�_��o,-46.65866667,-23.55616667,Indian,70,0,0,0,3,3.1,5
Jiquitaia,30,S��o Paulo,Consola�_��o,-46.657523,-23.55671,Brazilian,100,0,0,0,4,4.1,15
Skye - Hotel Unique,30,S��o Paulo,"Hotel Unique, Jardim Paulista",-46.666851,-23.581688,"Beverages, International",300,0,0,0,4,4.8,59
Les 3 Brasseurs,30,S��o Paulo,Itaim Bibi,-46.67511,-23.582135,"French, Brazilian, Beverages",120,0,0,0,4,4.6,30
Red Steak & Burger,30,S��o Paulo,Itaim Bibi,-46.683888,-23.585324,"Brazilian, Grill",75,0,0,0,3,3.9,5
Paris 6 Classique,30,S��o Paulo,Jardim Paulista,-46.666041,-23.561568,French,200,0,0,0,4,3.4,73
Kawa Sushi,30,S��o Paulo,Jardim Paulista,-46.657418,-23.571638,"Sushi, Japanese",120,0,0,0,4,3.5,9
A Figueira Rubaiyat,30,S��o Paulo,Jardim Paulista,-46.66983333,-23.5655,"BBQ, Grill, Brazilian",300,0,0,0,4,4.3,39
Kinoshita,30,S��o Paulo,Moema,-46.67133333,-23.59233333,Sushi,230,0,0,0,4,3.9,12
Meats,30,S��o Paulo,Pinheiros,-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",120,0,0,0,4,4.3,68
Paribar,30,S��o Paulo,Rep�_blica,-46.64159444,-23.54664167,"Brazilian, Italian",150,0,0,0,4,4.3,46
Terra�_o It��lia,30,S��o Paulo,Rep�_blica,-46.643425,-23.545163,Italian,400,0,0,0,4,4.4,37
Esquina Mocot�_,30,S��o Paulo,Vila Maria,-46.581672,-23.486535,"Brazilian, North Eastern",100,0,0,0,4,4.4,22
Veloso,30,S��o Paulo,Vila Mariana,-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",70,0,0,0,3,4.6,58
Sainte Marie Gastronomia,30,S��o Paulo,Vila S��nia,-46.746958,-23.609207,"Lebanese, Arabian",120,0,0,0,4,4.1,11
Austin's BBQ and Oyster Bar,216,Albany,Albany,-84.221535,31.610387,"BBQ, Burger, Seafood",25,0,0,0,2,3.3,35
BJ's Country Buffet,216,Albany,Albany,-84.207095,31.608743,"American, BBQ",10,0,0,0,1,3.3,25
El Vaquero Mexican Restaurant,216,Albany,Albany,-84.2194,31.6158,Mexican,0,0,0,0,1,3.4,45
Elements Coffee Co - Northwest,216,Albany,Albany,-84.206944,31.622412,"Coffee and Tea, Sandwich",10,0,0,0,1,3.4,26
Chick-fil-A,216,Albany,Albany,-84.2193,31.616,Fast Food,10,0,0,0,1,3.5,67
Guang Zhou Chinese Restaurant,216,Albany,Albany,-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",10,0,0,0,1,3.9,141
Harvest Moon,216,Albany,Albany,-84.205718,31.604905,"Pizza, Bar Food, Sandwich",25,0,0,0,2,3.7,147
Henry Campbell's Steakhouse,216,Albany,Albany,-84.223278,31.612121,"Steak, Tapas, Bar Food",70,0,0,0,4,3.5,51
Hong Kong Cafe,216,Albany,Albany,-84.2191,31.6156,"Chinese, Seafood, Vegetarian",25,0,0,0,2,3.6,88
House of China Restaurant II,216,Albany,Albany,-84.212,31.6104,Chinese,10,0,0,0,1,3.8,153
Locos Grill & Pub,216,Albany,Albany,-84.2228,31.6077,"American, Burger, Sandwich",25,0,0,0,2,3.5,57
Longhorn Steakhouse,216,Albany,Albany,-84.2229,31.6185,"American, Steak",25,0,0,0,2,3.5,58
Mikata Japanese Steakhouse,216,Albany,Albany,-84.2164,31.6137,"Japanese, Steak, Sushi",40,0,0,0,3,3.6,115
Shogun Japanese Steak House,216,Albany,Albany,-84.2233,31.6118,"Japanese, Steak, Sushi",40,0,0,0,3,3.5,51
The Catch Seafood Room & Oyster Bar,216,Albany,Albany,-84.205025,31.605882,"Seafood, Tapas, Bar Food",40,0,0,0,3,3.8,250
Villa Gargano,216,Albany,Albany,-84.1757,31.5985,"Italian, Pizza",10,0,0,0,1,3.7,117
3 Squares Diner,216,Albany,Sylvester,-83.8389,31.5308,"American, Breakfast, Diner",10,0,0,0,1,3.4,20
Whitebull Hotel,14,Armidale,Armidale,151.6688792,-30.5147169,"Bar Food, Steak",20,0,0,0,2,3.5,25
Last Resort Grill,216,Athens,Athens,-83.378273,33.957999,"American, Southern, Southwestern",40,0,0,0,3,4.5,1821
Mama's Boy Restaurant,216,Athens,Athens,-83.3654,33.9535,Southern,10,0,0,0,1,4.5,849
Sr. Sol 1,216,Athens,Athens,-83.4293,33.9652,Mexican,10,0,0,0,1,4.6,917
Choo Choo Eastside,216,Athens,Athens,-83.3389,33.9259,"Japanese, Korean",10,0,0,0,1,3.9,439
The Grill,216,Athens,Athens,-83.375523,33.958198,"Breakfast, Burger, Sandwich",10,0,0,0,1,3.7,289
Big City Bread Cafe,216,Athens,Athens,-83.384004,33.959392,"Breakfast, Sandwich",10,0,0,0,1,4.3,558
Clocked,216,Athens,Athens,-83.3797,33.9584,"American, Burger, Sandwich",10,0,0,0,1,4.2,613
DePalma's Italian Cafe - Downtown,216,Athens,Athens,-83.373596,33.958112,"American, Italian, Pizza",25,0,0,0,2,4.0,353
DePalma's Italian Cafe - East Side,216,Athens,Athens,-83.33995,33.924275,"American, Italian, Pizza",25,0,0,0,2,4.1,387
Five & Ten,216,Athens,Athens,-83.3872482,33.9415545,American,40,0,0,0,3,4.3,755
Grit,216,Athens,Athens,-83.381625,33.960112,"International, Southern, Vegetarian",10,0,0,0,1,4.2,800
Ike & Jane,216,Athens,Athens,-83.400887,33.963296,Sandwich,10,0,0,0,1,4.1,350
La Dolce Vita Ristorante,216,Athens,Athens,-83.4075,33.9584,Italian,40,0,0,0,3,4.1,464
Shokitini,216,Athens,Athens,-83.379251,33.957503,"Asian, Japanese, Sushi",25,0,0,0,2,4.2,550
Taqueria Del Sol,216,Athens,Athens,-83.383605,33.960571,"Mexican, Spanish",10,0,0,0,1,4.1,543
The National,216,Athens,Athens,-83.37967,33.959468,"International, Southern",40,0,0,0,3,4.1,465
The Royal Peasant,216,Athens,Athens,-83.38728,33.937502,Bar Food,10,0,0,0,1,4.4,546
Transmetropolitan,216,Athens,Athens,-83.3764,33.9584,"Italian, Pizza, Sandwich",10,0,0,0,1,4.4,1098
Trappeze Pub,216,Athens,Athens,-83.378881,33.958363,"Burger, Bar Food",25,0,0,0,2,4.2,579
Viva! Argentine Cuisine,216,Athens,Athens,-83.3828224,33.9600227,"Desserts, Latin American, Argentine",10,0,0,0,1,4.1,374
Miyabi Kyoto Japanese Steak House,216,Augusta,Augusta,-82.0865,33.4721,"Chinese, Steak",40,0,0,0,3,4.6,717
Rae's Coastal Cafe,216,Augusta,Augusta,-82.0698,33.4791,"American, Caribbean, Seafood",40,0,0,0,3,4.9,548
The Bee's Knees,216,Augusta,Augusta,-81.97,33.4765,"International, Tapas, Vegetarian",25,0,0,0,2,4.5,631
Boll Weevil Cafe,216,Augusta,Augusta,-81.9684,33.474,"Desserts, Sandwich, Southern",10,0,0,0,1,3.9,372
Farmhaus Burger,216,Augusta,Augusta,-81.973006,33.477444,"American, Burger",25,0,0,0,2,3.9,201
Manuel's Bread Cafe,216,Augusta,Augusta,-81.965571,33.481779,"Breakfast, French",40,0,0,0,3,3.8,332
Sconyers Bar B Que,216,Augusta,Augusta,-82.0327,33.4086,BBQ,25,0,0,0,2,3.5,304
Frog Hollow Tavern,216,Augusta,Augusta,-81.974944,33.478231,American,40,0,0,0,3,4.3,368
Giuseppe's Pizza & Italian Specialities,216,Augusta,Augusta,-82.096,33.4827,"Desserts, Italian, Pizza",25,0,0,0,2,4.1,430
Mellow Mushroom,216,Augusta,Augusta,-81.9721,33.4778,"Italian, Pizza, Sandwich",25,0,0,0,2,4.4,433
Nacho Mamas Burritos,216,Augusta,Augusta,-81.9694,33.4764,Mexican,10,0,0,0,1,4.0,380
Rhinehart's Oyster Bar,216,Augusta,Augusta,-82.0505,33.5133,"Bar Food, Sandwich, Seafood",25,0,0,0,2,4.0,456
Takosushi,216,Augusta,Augusta,-82.0301,33.4848,"Mexican, Southwestern, Sushi",40,0,0,0,3,4.2,647
The Chop House,216,Augusta,Augusta,-82.080788,33.467201,Steak,40,0,0,0,3,4.0,360
The Taj of India,216,Augusta,Augusta,-82.0805493,33.5375868,Indian,25,0,0,0,2,4.0,227
Augsburg Haus,216,Augusta,Evans,-82.143793,33.544342,German,25,0,0,0,2,3.9,290
Pho Bac,216,Augusta,Evans,-82.126161,33.532249,Vietnamese,10,0,0,0,1,4.1,270
Rhinehart's Oyster Bar,216,Augusta,Evans,-82.141284,33.521291,"Burger, Seafood",25,0,0,0,2,4.0,326
Thai Kitchen,216,Augusta,Evans,-82.1328,33.5406,Thai,35,0,0,0,3,4.3,317
El Kiosco Mexican Restaurant,216,Augusta,Grovetown,-82.1997,33.4574,Mexican,10,0,0,0,1,4.2,300
Taste of Balingup,14,Balingup,Balingup,115.9844924,-33.7845269,Modern Australian,20,0,0,0,2,3.2,21
Bridge Road Brewers,14,Beechworth,Beechworth,146.685852,-36.360439,"Pizza, Bar Food",20,0,0,0,2,4.6,237
Bardenay,216,Boise,Boise,-116.2019,43.6138,"American, Bar Food",25,0,0,0,2,4.5,879
Flatbread Neapolitan Pizzeria,216,Boise,Boise,-116.203466,43.616068,"Italian, Pizza",25,0,0,0,2,4.6,615
Goldy's Breakfast Bistro,216,Boise,Boise,-116.2023,43.6149,"Breakfast, Sandwich",25,0,0,0,2,4.5,879
Chandlers Steakhouse,216,Boise,Boise,-116.2064,43.6157,"American, Seafood, Steak",70,0,0,0,4,3.9,379
Bar Gernika Basque Pub & Eatery,216,Boise,Boise,-116.2031,43.614,"European, Spanish",10,0,0,0,1,4.3,303
Barbacoa Restaurant,216,Boise,Boise,-116.185034,43.597235,"Latin American, Steak",70,0,0,0,4,4.1,538
Big Jud's,216,Boise,Boise,-116.2062,43.5945,"American, Burger, Sandwich",10,0,0,0,1,4.2,334
Bittercreek Ale House,216,Boise,Boise,-116.2022,43.6167,"American, Bar Food",25,0,0,0,2,4.3,555
Boise Fry Company,216,Boise,Boise,-116.193409,43.610279,"American, Burger",10,0,0,0,1,4.4,823
Flying Pie Pizzaria,216,Boise,Boise,-116.2625,43.6192,Pizza,25,0,0,0,2,4.1,550
Fork,216,Boise,Boise,-116.202845,43.616295,"American, Burger",25,0,0,0,2,4.4,650
Guido's Original New York Style Pizza,216,Boise,Boise,-116.199,43.615,Pizza,10,0,0,0,1,4.3,410
Los Beto's,216,Boise,Boise,-116.2463,43.6191,Mexican,10,0,0,0,1,4.4,660
Lucianos Italian Restaurant,216,Boise,Boise,-116.245165,43.6051379,"Italian, Seafood, Vegetarian",25,0,0,0,2,4.4,360
Mai Thai Restaurant,216,Boise,Boise,-116.2021,43.6162,"Sushi, Thai",40,0,0,0,3,4.0,340
Shige Japanese Cuisine,216,Boise,Boise,-116.2031,43.6156,"Japanese, Sushi, Teriyaki",25,0,0,0,2,4.1,393
The Egg Factory,216,Boise,Boise,-116.281809,43.619274,Breakfast,10,0,0,0,1,4.3,422
Tucanos,216,Boise,Boise,-116.280614,43.591706,Brazilian,40,0,0,0,3,4.0,435
Texas Roadhouse,216,Boise,Meridian,-116.347304,43.619108,"American, BBQ, Steak",25,0,0,0,2,4.0,369
Brick 29,216,Boise,Nampa,-116.5629,43.5777,American,40,0,0,0,3,4.4,487
Winifreds,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.6336,42.0179,"American, Mediterranean, Seafood",40,0,0,0,3,3.7,98
Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.6327,42.0281,"Italian, Pizza",40,0,0,0,3,4.1,365
El Super Burrito,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.7148,41.9748,Mexican,10,0,0,0,1,4.1,190
Granite City Food & Brewery,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.6224,42.0249,"American, Breakfast, Burger",40,0,0,0,3,4.1,429
Irish Democrat,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.6347,42.01,"American, BBQ, Burger",25,0,0,0,2,4.4,430
Taste of India,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.6499622,42.0215347,Indian,25,0,0,0,2,4.2,186
Thai Moon Restaurant,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.7266,41.9639,"Chinese, Sushi, Thai",10,0,0,0,1,4.2,220
Ting's Red Lantern,216,Cedar Rapids/Iowa City,Cedar Rapids,-91.6394,42.0468,Chinese,10,0,0,0,1,4.2,347
Monica's,216,Cedar Rapids/Iowa City,Coralville,-91.569767,41.670466,"American, Italian, Pizza",25,0,0,0,2,3.8,161
Exotic India,216,Cedar Rapids/Iowa City,Coralville,-91.5687,41.6685,Indian,25,0,0,0,2,4.1,160
Shorts Burger and Shine,216,Cedar Rapids/Iowa City,Iowa City,-91.534424,41.660982,Burger,10,0,0,0,1,4.9,820
The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,Iowa City,-91.531414,41.663849,"American, Breakfast, Burger",10,0,0,0,1,4.5,488
Bluebird Diner,216,Cedar Rapids/Iowa City,Iowa City,-91.531093,41.663751,"Breakfast, Diner",25,0,0,0,2,3.6,253
Graze,216,Cedar Rapids/Iowa City,Iowa City,-91.534302,41.658691,"American, International, Sushi",40,0,0,0,3,3.8,220
A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,Iowa City,-91.5314,41.6648,Pizza,25,0,0,0,2,4.3,485
Atlas World Grill,216,Cedar Rapids/Iowa City,Iowa City,-91.5341,41.661,International,40,0,0,0,3,4.3,428
BlackStone,216,Cedar Rapids/Iowa City,Iowa City,-91.482165,41.667742,"American, Breakfast",25,0,0,0,2,4.1,294
Devotay,216,Cedar Rapids/Iowa City,Iowa City,-91.5318,41.6625,"Mediterranean, Tapas, Vegetarian",40,0,0,0,3,4.0,380
Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,Iowa City,-91.5074,41.6428,BBQ,25,0,0,0,2,4.2,259
Zoeys Pizzeria,216,Cedar Rapids/Iowa City,Marion,-91.5995,42.0331,"Pizza, Sandwich",25,0,0,0,2,4.7,433
Tokyo Sushi,37,Chatham-Kent,Chatham-Kent,-82.188438,42.397683,"Japanese, Sushi",25,0,0,0,2,3.7,176
Berry Patch Restaurant,216,Clatskanie,Clatskanie,-123.368151,46.126967,"American, Breakfast, Desserts",10,0,0,0,1,4.3,96
Sakura Sushi & Grill,216,Cochrane,Cochrane,-114.472474,51.183934,"Asian, Japanese",25,0,0,0,2,3.1,6
Uptown Vietnam cuisine,216,Columbus,Columbus,-84.992671,32.470315,"Asian, Vietnamese",10,0,0,0,1,3.3,33
Cafe Le Rue @ The Landings,216,Columbus,Columbus,-84.95591,32.519247,"American, Seafood, Cajun",25,0,0,0,2,4.6,489
Mark's City Grille,216,Columbus,Columbus,-84.927047,32.555591,American,25,0,0,0,2,4.5,345
B Merrell's,216,Columbus,Columbus,-84.9436,32.5577,"Burger, Bar Food, Southern",25,0,0,0,2,3.8,149
Cannon Brewpub,216,Columbus,Columbus,-84.9936,32.4656,"Pizza, Bar Food",25,0,0,0,2,3.9,330
Fuji Japanese Steak House,216,Columbus,Columbus,-84.954984,32.5382197,"Japanese, Steak",40,0,0,0,3,3.9,247
Ruth Ann's Family Restaurant,216,Columbus,Columbus,-84.9876,32.4637,"Breakfast, Diner, Southern",10,0,0,0,1,3.7,123
Samurai Japanese Cuisine & Sushi Bar,216,Columbus,Columbus,-84.9933631,32.4652417,"Japanese, Steak, Sushi",40,0,0,0,3,3.6,109
Wasabi Sushi and Thai,216,Columbus,Columbus,-84.96661,32.534002,"Japanese, Sushi, Thai",40,0,0,0,3,3.7,134
Buckhead Bar and Grill,216,Columbus,Columbus,-84.95367,32.513154,"Seafood, Steak, Vegetarian",40,0,0,0,3,4.2,722
Burt's Butcher Shoppe and Eatery,216,Columbus,Columbus,-84.947569,32.504657,Steak,25,0,0,0,2,4.3,213
Chef Lee's Peking Restaurant,216,Columbus,Columbus,-84.9607,32.5393,Chinese,25,0,0,0,2,4.0,335
Country's Barbecue,216,Columbus,Columbus,-84.9464,32.4792,"BBQ, Southern",25,0,0,0,2,4.0,353
Deorio's,216,Columbus,Columbus,-84.9427,32.481,"Italian, Pizza",0,0,0,0,1,4.0,170
Mellow Mushroom,216,Columbus,Columbus,-84.9557,32.5321,Pizza,25,0,0,0,2,4.1,192
Meritage,216,Columbus,Columbus,-84.992093,32.466158,"American, Tapas",40,0,0,0,3,4.1,302
Mongo The Mongolian Fire Pit,216,Columbus,Columbus,-84.938698,32.560905,"Asian, Chinese",10,0,0,0,1,4.2,355
The Black Cow,216,Columbus,Columbus,-84.991384,32.468757,American,25,0,0,0,2,4.3,287
Wood Stone,216,Columbus,Columbus,-84.963201,32.527217,"Italian, Mediterranean, Pizza",40,0,0,0,3,4.0,264
Hunter's Pub,216,Columbus,Hamilton,-85.0213,32.7455,"American, Seafood, Steak",40,0,0,0,3,4.4,235
Consort Restaurant,37,Consort,Consort,-110.7746994,52.0082889,"Chinese, Canadian",25,0,0,0,2,3.0,6
Thatcher's Barbeque and Grill,216,Dalton,Calhoun,-84.9396931,34.5251331,"American, BBQ, Southern",25,0,0,0,2,3.7,38
Christian and Jake's Bistro,216,Dalton,Calhoun,-84.926258,34.474635,"Desserts, Sandwich",10,0,0,0,1,4.4,122
Dub's High on the Hog,216,Dalton,Calhoun,-84.9523921,34.4972488,BBQ,25,0,0,0,2,4.4,207
Sierra's Mexican Restaurant,216,Dalton,Chatsworth,-84.767911,34.752476,"Mexican, Tex-Mex",10,0,0,0,1,3.9,66
Oakwood Cafe,216,Dalton,Dalton,-84.969393,34.769686,"BBQ, Breakfast, Southern",10,0,0,0,1,4.9,249
Chili's Grill & Bar,216,Dalton,Dalton,-85.0039,34.7643,American,25,0,0,0,2,3.8,63
Fuji Japanese Steakhouse,216,Dalton,Dalton,-84.992342,34.759551,"Japanese, Sushi",40,0,0,0,3,3.8,145
Las Palmas,216,Dalton,Dalton,-84.992924,34.759665,Mexican,10,0,0,0,1,3.8,83
Tony's Italian Restaurant & Pizza,216,Dalton,Dalton,-84.999678,34.758645,Italian,25,0,0,0,2,3.7,116
Filling Station,216,Dalton,Dalton,-84.9678,34.7742,"American, Burger",10,0,0,0,1,4.1,122
Five Guys Burgers and Fries,216,Dalton,Dalton,-84.990925,34.759273,Fast Food,10,0,0,0,1,4.1,142
Los Pablos,216,Dalton,Dalton,-84.9964,34.7604,Mexican,10,0,0,0,1,4.1,114
Kobe Hibachi & Sushi,216,Dalton,Fort Oglethorpe,-85.2229101,34.9428786,"American, Japanese, Sushi",25,0,0,0,2,4.6,214
Soho Hibachi,216,Dalton,Fort Oglethorpe,-85.246237,34.9528157,Japanese,10,0,0,0,1,4.3,116
